Date : 2025-03-11 18:10:11
Directory : c:\Users\HP\Desktop\optal\fe-optal\src
Total : 234 files,  13432 codes, 491 comments, 2064 blanks, all 15987 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript JSX |        154 |      9,626 |        219 |      1,496 |     11,341 |
| SCSS           |         56 |      3,225 |        204 |        478 |      3,907 |
| JavaScript     |         15 |        483 |         40 |         73 |        596 |
| CSS            |          1 |         74 |         27 |         17 |        118 |
| XML            |          7 |         16 |          1 |          0 |         17 |
| JSON           |          1 |          8 |          0 |          0 |          8 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                         |        234 |     13,432 |        491 |      2,064 |     15,987 |
| app                                                                                                                                       |        227 |     13,416 |        490 |      2,064 |     15,970 |
| app (Files)                                                                                                                               |          4 |        125 |         30 |         29 |        184 |
| app\BoxSingleProduct                                                                                                                      |          3 |        567 |         28 |         82 |        677 |
| app\BoxSingleProduct\[productId]                                                                                                          |          3 |        567 |         28 |         82 |        677 |
| app\BoxSingleProduct\[productId] (Files)                                                                                                  |          1 |         11 |          0 |          3 |         14 |
| app\BoxSingleProduct\[productId]\componetns                                                                                               |          2 |        556 |         28 |         79 |        663 |
| app\account-customer                                                                                                                      |          6 |         58 |          0 |         12 |         70 |
| app\account-customer (Files)                                                                                                              |          1 |         14 |          0 |          2 |         16 |
| app\account-customer\dels                                                                                                                 |          1 |          9 |          0 |          2 |         11 |
| app\account-customer\favorites                                                                                                            |          1 |          7 |          0 |          2 |          9 |
| app\account-customer\history                                                                                                              |          1 |          7 |          0 |          2 |          9 |
| app\account-customer\orders                                                                                                               |          1 |         14 |          0 |          2 |         16 |
| app\account-customer\reviews                                                                                                              |          1 |          7 |          0 |          2 |          9 |
| app\account-factory                                                                                                                       |          2 |         16 |          0 |          5 |         21 |
| app\account-factory (Files)                                                                                                               |          1 |          8 |          0 |          3 |         11 |
| app\account-factory\update-product                                                                                                        |          1 |          8 |          0 |          2 |         10 |
| app\account-factory\update-product\[productId]                                                                                            |          1 |          8 |          0 |          2 |         10 |
| app\addproduct                                                                                                                            |          1 |          7 |          0 |          2 |          9 |
| app\bl                                                                                                                                    |          3 |         66 |          0 |         13 |         79 |
| app\bl\[box_login]                                                                                                                        |          3 |         66 |          0 |         13 |         79 |
| app\bl\[box_login]\[box_imagoco]                                                                                                          |          3 |         66 |          0 |         13 |         79 |
| app\bl\[box_login]\[box_imagoco] (Files)                                                                                                  |          1 |         10 |          0 |          2 |         12 |
| app\bl\[box_login]\[box_imagoco]\components                                                                                               |          2 |         56 |          0 |         11 |         67 |
| app\box                                                                                                                                   |          9 |        515 |         37 |        107 |        659 |
| app\box-account                                                                                                                           |         29 |      1,730 |         38 |        256 |      2,024 |
| app\box-account (Files)                                                                                                                   |          1 |         10 |          0 |          2 |         12 |
| app\box-account\components                                                                                                                |          9 |        619 |          9 |        107 |        735 |
| app\box-account\components (Files)                                                                                                        |          7 |        517 |          9 |         95 |        621 |
| app\box-account\components\modals                                                                                                         |          2 |        102 |          0 |         12 |        114 |
| app\box-account\update-product                                                                                                            |         19 |      1,101 |         29 |        147 |      1,277 |
| app\box-account\update-product\[productId]                                                                                                |         19 |      1,101 |         29 |        147 |      1,277 |
| app\box-account\update-product\[productId] (Files)                                                                                        |          1 |         10 |          0 |          2 |         12 |
| app\box-account\update-product\[productId]\components                                                                                     |         18 |      1,091 |         29 |        145 |      1,265 |
| app\box-account\update-product\[productId]\components (Files)                                                                             |          1 |         20 |          0 |         10 |         30 |
| app\box-account\update-product\[productId]\components\components                                                                          |         17 |      1,071 |         29 |        135 |      1,235 |
| app\box-account\update-product\[productId]\components\components (Files)                                                                  |          3 |         92 |          8 |         22 |        122 |
| app\box-account\update-product\[productId]\components\components\tabs                                                                     |         14 |        979 |         21 |        113 |      1,113 |
| app\box-account\update-product\[productId]\components\components\tabs (Files)                                                             |          8 |        574 |         20 |         68 |        662 |
| app\box-account\update-product\[productId]\components\components\tabs\Modals                                                              |          6 |        405 |          1 |         45 |        451 |
| app\box-activate                                                                                                                          |          1 |          0 |          0 |          1 |          1 |
| app\box-activate\[box_key]                                                                                                                |          1 |          0 |          0 |          1 |          1 |
| app\box-addproduct                                                                                                                        |          9 |        638 |          5 |         87 |        730 |
| app\box-addproduct (Files)                                                                                                                |          1 |         10 |          0 |          2 |         12 |
| app\box-addproduct\componetns                                                                                                             |          8 |        628 |          5 |         85 |        718 |
| app\box-addproduct\componetns (Files)                                                                                                     |          4 |        436 |          1 |         62 |        499 |
| app\box-addproduct\componetns\modals                                                                                                      |          2 |        115 |          2 |         12 |        129 |
| app\box-addproduct\componetns\сomponents                                                                                                  |          2 |         77 |          2 |         11 |         90 |
| app\box-create                                                                                                                            |          4 |        163 |          0 |         30 |        193 |
| app\box-create (Files)                                                                                                                    |          1 |         10 |          0 |          2 |         12 |
| app\box-create\components                                                                                                                 |          3 |        153 |          0 |         28 |        181 |
| app\box\[box_id]                                                                                                                          |          9 |        515 |         37 |        107 |        659 |
| app\box\[box_id] (Files)                                                                                                                  |          1 |         10 |          0 |          2 |         12 |
| app\box\[box_id]\components                                                                                                               |          8 |        505 |         37 |        105 |        647 |
| app\cart                                                                                                                                  |          2 |         32 |          1 |          7 |         40 |
| app\cart (Files)                                                                                                                          |          1 |         18 |          1 |          5 |         24 |
| app\cart\checkout                                                                                                                         |          1 |         14 |          0 |          2 |         16 |
| app\category                                                                                                                              |          1 |         15 |          0 |          2 |         17 |
| app\category\[categoryId]                                                                                                                 |          1 |         15 |          0 |          2 |         17 |
| app\components                                                                                                                            |         98 |      7,223 |        235 |      1,012 |      8,470 |
| app\components\AccountCustomer                                                                                                            |          6 |        484 |          4 |         54 |        542 |
| app\components\AccountCustomer (Files)                                                                                                    |          2 |        306 |          2 |         42 |        350 |
| app\components\AccountCustomer\Orders                                                                                                     |          4 |        178 |          2 |         12 |        192 |
| app\components\AccountFactory                                                                                                             |          1 |        101 |          3 |         20 |        124 |
| app\components\Auth                                                                                                                       |          4 |        762 |          7 |        112 |        881 |
| app\components\Auth\LoginCustomer                                                                                                         |          1 |        176 |          2 |         18 |        196 |
| app\components\Auth\LoginsFactory                                                                                                         |          1 |        178 |          1 |         25 |        204 |
| app\components\Auth\RegisterCustomer                                                                                                      |          1 |        201 |          2 |         30 |        233 |
| app\components\Auth\RegisterFactory                                                                                                       |          1 |        207 |          2 |         39 |        248 |
| app\components\CategoryContent                                                                                                            |          1 |         59 |          0 |          7 |         66 |
| app\components\CurrencyFormatter                                                                                                          |          1 |         19 |          3 |          8 |         30 |
| app\components\DesktopCats                                                                                                                |          2 |         94 |          0 |         17 |        111 |
| app\components\SubCategoryContent                                                                                                         |          1 |         37 |          0 |          4 |         41 |
| app\components\account_header                                                                                                             |          5 |        384 |          2 |         65 |        451 |
| app\components\addproduct                                                                                                                 |          6 |        407 |          0 |         58 |        465 |
| app\components\banner                                                                                                                     |          1 |         25 |         37 |         15 |         77 |
| app\components\buttons                                                                                                                    |          1 |         44 |          0 |          3 |         47 |
| app\components\cart                                                                                                                       |         10 |        661 |          9 |        119 |        789 |
| app\components\checkout                                                                                                                   |          9 |        862 |         14 |         76 |        952 |
| app\components\feed                                                                                                                       |          1 |         56 |          0 |         11 |         67 |
| app\components\footer                                                                                                                     |          3 |        107 |         12 |         14 |        133 |
| app\components\header                                                                                                                     |          6 |        580 |         35 |         96 |        711 |
| app\components\header (Files)                                                                                                             |          5 |        545 |         35 |         91 |        671 |
| app\components\header\components                                                                                                          |          1 |         35 |          0 |          5 |         40 |
| app\components\home_content                                                                                                               |          1 |         15 |          0 |          4 |         19 |
| app\components\product_card                                                                                                               |          2 |         87 |          4 |         15 |        106 |
